Deelnemer ID,Nummer,Spotify ID,Artiest,Stemming begin,Energie begin,Gevoel begin,Aan het studeren,Studietaak,Muziek tijdens studeren,Moeilijkheid studie,Reden focus,Stemming later,Energie later,Gevoel later,track_id,track_genre,energy,valence,tempo,danceability,popularity,Stemmingsverschil,Energieverschil,_bronrij
3043,Movement,spotify:track:0SFq19lgG4qbQAZaNZ3xhO,Hozier,,,,,,,,,,,,0SFq19lgG4qbQAZaNZ3xhO,songwriter,0.502,0.147,144.3,0.381,62.0,,,69
3043,"Paint It, Black",spotify:track:6rSVuRt7xl4GsEQv4tphSl,Ramin Djawadi,,,,,,,,,,,,,,,,,,,,,70
3043,Anxiety,spotify:track:6QYaZj591AUBHhMoI8yjON,Sophie Pecora,,,,,,,,,,,,,,,,,,,,,71
3043,Run Away - Runaway,spotify:track:0o1svwMs3E2lEvlqneY90U,NÃ¤belhÃ¼Ã¼ler Ã„bike,,,,,,,,,,,,,,,,,,,,,72
3043,Carnaval Del Barrio,spotify:track:7D0Ntx3LMFMPNtSViJLS4D,Daphne Rubin-Vega,,,,,,,,,,,,7D0Ntx3LMFMPNtSViJLS4D,show-tunes,0.563,0.7,113.215,0.546,53.0,,,73
3043,Run Away - Runaway,spotify:track:0o1svwMs3E2lEvlqneY90U,NÃ¤belhÃ¼Ã¼ler Ã„bike,,,,,,,,,,,,,,,,,,,,,74
3043,Hypercube,spotify:track:7MrPZCszweFRL3S0OwQKPw,Oliver Waespi,,,,,,,,,,,,,,,,,,,,,75
3043,Light Walk,spotify:track:2YwZ2EdRKkDD4oZBmDZs2l,Barrie Gott,,,,,,,,,,,,,,,,,,,,,76
3043,Mia & Sebastianâ€™s Theme,spotify:track:1Vk4yRsz0iBzDiZEoFMQyv,Justin Hurwitz,,,,,,,,,,,,,,,,,,,,,77
3065,There's Nothing Holdin' Me Back,spotify:track:7JJmb5XwzOO8jgpou264Ml,Shawn Mendes,3.0,1.0,Hopeful,No,,,,,,,,7JJmb5XwzOO8jgpou264Ml,dance,0.813,0.969,121.998,0.866,86.0,,,78
3065,There's Nothing Holdin' Me Back,spotify:track:7JJmb5XwzOO8jgpou264Ml,Shawn Mendes,3.0,1.0,Hopeful,No,,,,,,,,7JJmb5XwzOO8jgpou264Ml,pop,0.813,0.969,121.998,0.866,86.0,,,78
3065,Midnight (feat. Liam Payne),spotify:track:4ZTTUAjJCd4NMZmIU7RB4c,Alesso,,,,,,,,,,,,4ZTTUAjJCd4NMZmIU7RB4c,edm,0.648,0.281,144.028,0.587,65.0,,,79
3065,Midnight (feat. Liam Payne),spotify:track:4ZTTUAjJCd4NMZmIU7RB4c,Alesso,,,,,,,,,,,,4ZTTUAjJCd4NMZmIU7RB4c,electro,0.648,0.281,144.028,0.587,65.0,,,79
3065,Midnight (feat. Liam Payne),spotify:track:4ZTTUAjJCd4NMZmIU7RB4c,Alesso,,,,,,,,,,,,4ZTTUAjJCd4NMZmIU7RB4c,house,0.648,0.281,144.028,0.587,65.0,,,79
3065,"Let Me Move You - From the Netflix film ""Work It""",spotify:track:0roOLcll6SSTYZwsQFmXqP,Sabrina Carpenter,3.0,1.0,Hopeful,No,,,,,,,,,,,,,,,,,80
3065,Bumpy Ride,spotify:track:71R6zJsrF3ffc3TBFHfivX,Mohombi,0.0,-1.0,Neutral,Yes,Searching for information,Yes,0.0,1.0,,,,71R6zJsrF3ffc3TBFHfivX,dance,0.842,0.818,104.958,0.706,72.0,,,81
